id,true_positives,true_negatives,false_positives,false_negatives,test_affirmation,test_effectiveness,accuracy,sortDescending,sortDescending-testCase,isPalindrome,count_starting_repeats,count_starting_repeats-testCase,crtJerry,crtElves,crtEmily,crtCubic,crtAthlete,crtRace,crtFarmer,crt-alt,verification,test-case
103,19,20,22,21,0.475,0.476190476,0.475609756,0,NA,1,0,NA,1,1,1,0,1,1,1,0.857142857,0.333333333,NA
104,38,15,27,2,0.95,0.357142857,0.646341463,1,1,1,1,1,0,1,1,0,1,1,1,0.714285714,1,1
105,0,42,0,40,0,1,0.512195122,0,NA,1,1,1,1,1,1,1,1,1,1,1,0.666666667,1
106,20,35,7,20,0.5,0.833333333,0.670731707,1,1,1,0,NA,1,1,1,1,1,1,1,1,0.666666667,1
107,40,0,42,0,1,0,0.487804878,1,1,1,0,NA,1,1,1,1,1,1,1,1,0.666666667,1
108,40,0,42,0,1,0,0.487804878,0,NA,0,0,NA,0,1,1,0,1,0,1,0.571428571,0,NA
109,0,42,0,40,0,1,0.512195122,0,NA,1,0,NA,0,0,1,1,0,1,0,0.428571429,0.333333333,NA
110,37,36,6,3,0.925,0.857142857,0.890243902,0,NA,1,0,NA,1,1,0,0,1,1,1,0.714285714,0.333333333,NA
111,23,26,16,17,0.575,0.619047619,0.597560976,0,NA,1,0,NA,0,1,1,1,0,1,1,0.714285714,0.333333333,NA
112,40,0,42,0,1,0,0.487804878,1,1,1,0,NA,1,1,1,1,1,1,1,1,0.666666667,1
113,34,39,3,6,0.85,0.928571429,0.890243902,1,1,0,0,NA,1,1,1,1,1,1,1,1,0.333333333,1
114,1,39,3,39,0.025,0.928571429,0.487804878,0,NA,1,0,NA,0,1,1,1,0,0,1,0.571428571,0.333333333,NA
115,19,36,6,21,0.475,0.857142857,0.670731707,0,NA,0,1,0,1,1,0,1,1,1,1,0.857142857,0.333333333,0
116,17,41,1,23,0.425,0.976190476,0.707317073,1,1,1,0,NA,1,1,1,1,1,1,1,1,0.666666667,1
117,31,39,3,9,0.775,0.928571429,0.853658537,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
118,40,0,42,0,1,0,0.487804878,0,NA,1,0,NA,1,0,1,0,0,1,1,0.571428571,0.333333333,NA
119,13,40,2,27,0.325,0.952380952,0.646341463,1,1,1,1,0,1,1,1,0,0,1,1,0.714285714,1,0.5
120,39,3,39,1,0.975,0.071428571,0.512195122,0,NA,0,0,NA,0,1,1,0,1,0,1,0.571428571,0,NA
121,17,34,8,23,0.425,0.80952381,0.62195122,1,1,1,0,NA,0,1,1,1,0,1,1,0.714285714,0.666666667,1
122,36,33,9,4,0.9,0.785714286,0.841463415,1,1,0,1,0,0,1,1,1,1,1,1,0.857142857,0.666666667,0.5
123,40,0,42,0,1,0,0.487804878,1,1,0,1,1,1,1,1,0,1,1,1,0.857142857,0.666666667,1
124,36,39,3,4,0.9,0.928571429,0.914634146,1,1,0,1,1,1,1,1,1,0,1,1,0.857142857,0.666666667,1
125,30,10,32,10,0.75,0.238095238,0.487804878,0,NA,0,1,0,1,1,1,1,1,0,1,0.857142857,0.333333333,0
126,33,39,3,7,0.825,0.928571429,0.87804878,0,NA,0,1,1,1,1,0,1,1,0,0,0.571428571,0.333333333,1
127,34,28,14,6,0.85,0.666666667,0.756097561,0,NA,1,0,NA,1,1,1,0,1,1,1,0.857142857,0.333333333,NA
128,0,42,0,40,0,1,0.512195122,1,1,0,0,NA,0,1,1,0,1,1,1,0.714285714,0.333333333,1
129,31,37,5,9,0.775,0.880952381,0.829268293,1,0,1,0,NA,1,1,1,0,1,1,1,0.857142857,0.666666667,0
130,19,20,22,21,0.475,0.476190476,0.475609756,1,1,1,1,1,0,1,1,0,1,1,1,0.714285714,1,1
131,34,37,5,6,0.85,0.880952381,0.865853659,1,1,1,0,NA,0,1,1,0,0,1,1,0.571428571,0.666666667,1
132,1,40,2,39,0.025,0.952380952,0.5,1,1,1,0,NA,1,1,1,0,1,1,1,0.857142857,0.666666667,1
133,36,39,3,4,0.9,0.928571429,0.914634146,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
134,39,0,42,1,0.975,0,0.475609756,1,1,1,0,NA,1,1,1,1,1,1,1,1,0.666666667,1
135,0,42,0,40,0,1,0.512195122,1,0,0,0,NA,1,1,1,0,0,1,1,0.714285714,0.333333333,0
136,17,40,2,23,0.425,0.952380952,0.695121951,0,NA,1,0,NA,0,1,1,1,0,0,1,0.571428571,0.333333333,NA
137,30,10,32,10,0.75,0.238095238,0.487804878,1,1,0,1,1,0,1,1,1,0,1,1,0.714285714,0.666666667,1
138,0,42,0,40,0,1,0.512195122,1,1,1,0,NA,0,1,1,0,1,1,1,0.714285714,0.666666667,1
139,40,0,42,0,1,0,0.487804878,1,0,0,1,1,1,0,1,1,1,1,1,0.857142857,0.666666667,0.5
140,40,0,42,0,1,0,0.487804878,0,NA,1,0,NA,0,1,1,0,0,1,1,0.571428571,0.333333333,NA